
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
N2530-6002-RB                    J1                                65   1  13  13   1 13    13 0                        0
N2530-6002-RB                    J1                                65   1  14  14   1 14    14 0                        0
N2530-6002-RB                    J1                                65   1  15  15   1 15    15 0 PWM_A               131073
N2530-6002-RB                    J1                                65   1  16  16   1 16    16 0 PWM_B               118785
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
N2530-6002-RB                    J1                                65   1  17  17   1 17    17 0 PWM_C               122881
N2530-6002-RB                    J1                                65   1  18  18   1 18    18 0 PWM_D               126977
N2530-6002-RB                    J1                                65   1  19  19   1 19    19 0 RESET_AB~           897025
N2530-6002-RB                    J1                                65   1  20  20   1 20    20 0 RESET_CD~           880641
N2530-6002-RB                    J1                                65   1  21  21   1 21    21 0                        0
N2530-6002-RB                    J1                                65   1  22  22   1 22    22 0 M1                  299009
N2530-6002-RB                    J1                                65   1  23  23   1 23    23 0 M2                  303105
N2530-6002-RB                    J1                                65   1  24  24   1 24    24 0 M3                  819201
N2530-6002-RB                    J1                                65   1  25  25   1 25    25 0 FAULT~              770049
N2530-6002-RB                    J1                                65   1  26  26   1 26    26 0 OTW~                765953
N2530-6002-RB                    J1                                65   1  27  27   1 27    27 0                        0
N2530-6002-RB                    J1                                65   1  28  28   1 28    28 0                        0
N2530-6002-RB                    J1                                65   1  29  29   1 29    29 0 GND                 888833
N2530-6002-RB                    J1                                65   1  30  30   1 30    30 0 GND                 888833
OSTT7022150                      J5                                69   1   1   1   1 1      1 0 PVDD                794625
OSTT7022150                      J5                                69   1   2   2   1 2      2 0 GND                 888833
PBC03SAAN                        M1                                47   1   1   1   1 1      1 0 VREG                290817
PBC03SAAN                        M1                                47   1   2   2   1 2      2 0 M1                  299009
PBC03SAAN                        M1                                47   1   3   3   1 3      3 0 GND                 888833
PBC03SAAN                        M2                                48   1   1   1   1 1      1 0 VREG                290817
PBC03SAAN                        M2                                48   1   2   2   1 2      2 0 M2                  303105
PBC03SAAN                        M2                                48   1   3   3   1 3      3 0 GND                 888833
PBC03SAAN                        M3                                49   1   1   1   1 1      1 0 VREG                290817
PBC03SAAN                        M3                                49   1   2   2   1 2      2 0 M3                  819201
PBC03SAAN                        M3                                49   1   3   3   1 3      3 0 GND                 888833
RC0603JR-0727KL                  R6                                50   1   1   1   1 1      1 0 XSIG010351          901121
RC0603JR-0727KL                  R6                                50   1   2   2   1 2      2 0 XSIG010352          905217
SML-LXT0805GW-TR                 LED1                              12   1   1   1   1 1      1 0 XSIG010014          45057
SML-LXT0805GW-TR                 LED1                              12   1   2   2   1 2      2 0 PVDD                794625
SML-LXT0805GW-TR                 LED4                              13   1   1   1   1 1      1 0 XSIG010072          196609
SML-LXT0805GW-TR                 LED4                              13   1   2   2   1 2      2 0 +3.3V               831489
SML-LXT0805YW-TR                 LED2                              18   1   1   1   1 1      1 0 XSIG010034          81921
SML-LXT0805YW-TR                 LED2                              18   1   2   2   1 2      2 0 XSIG010032          77825
SML-LXT0805YW-TR                 LED3                              17   1   1   1   1 1      1 0 XSIG010039          94209
SML-LXT0805YW-TR                 LED3                              17   1   2   2   1 2      2 0 XSIG010036          90113
UA78M05CDCYR                     VR2                               86   1   1   1   1 1      1 0 GVDD                860161
UA78M05CDCYR                     VR2                               86   1   2   2   1 2      2 0 GND                 888833
UA78M05CDCYR                     VR2                               86   1   3   3   1 3      3 0 +5V                 851969
UA78M33CDCYR                     VR1                               87   1   1   1   1 1      1 0 GVDD                860161
UA78M33CDCYR                     VR1                               87   1   2   2   1 2      2 0 GND                 888833
UA78M33CDCYR                     VR1                               87   1   3   3   1 3      3 0 +3.3V               831489
UVZ1J102MHD                      C1                                81   1   1   1   1 1      1 0 PVDD                794625
UVZ1J102MHD                      C1                                81   1   2   2   1 2      2 0 GND                 888833
931AS-4R7M                       L1                                80   1   1   1   1 1      1 0 OUT_A               434177
931AS-4R7M                       L1                                80   1   2   2   1 2      2 0 OUTA                442369
931AS-4R7M                       L2                                79   1   1   1   1 1      1 0 OUT_B               438273
931AS-4R7M                       L2                                79   1   2   2   1 2      2 0 OUTB                446465
931AS-4R7M                       L3                                78   1   1   1   1 1      1 0 OUT_C               360449
931AS-4R7M                       L3                                78   1   2   2   1 2      2 0 OUTC                450561
931AS-4R7M                       L4                                77   1   1   1   1 1      1 0 OUT_D               352257
